Tanggal Transaksi,Lokasi Pembelian,Tipe,Merek,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
24/04/2018,MOJOKERTO,OPPO F3 PLUS,OPPO,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,27,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,OPPO F5 6 GB,OPPO,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,55,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SIDOARJO,OPPO F5,OPPO,HITAM,PEREMPUAN,SIDOARJO,JAWA TIMUR,58,TUNAI,PROFESIONAL (GURU/DOSEN/DOKTER),AKADEMI/DIPLOMA,1649000
24/04/2018,SURABAYA,OPPO F5,OPPO,MERAH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,45,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,JOMBANG,OPPO F5,OPPO,MERAH,PEREMPUAN,JOMBANG,JAWA TIMUR,23,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,OPPO F5,OPPO,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,OPPO F5,OPPO,MERAH,PEREMPUAN,SURABAYA,JAWA TIMUR,50,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SIDOARJO,OPPO F5,OPPO,PUTIH,PEREMPUAN,SIDOARJO,JAWA TIMUR,43,KREDIT,KARYAWAN SWASTA,AKADEMI/DIPLOMA,1649000
24/04/2018,BOJONEGORO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,COKLAT,PEREMPUAN,BOJONEGORO,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SIDOARJO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,51,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,58,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,GRESIK,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,34,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SUMENEP,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SUMENEP,JAWA TIMUR,54,TUNAI,KARYAWAN SWASTA,SMP,1649000
24/04/2018,SIDOARJO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,34,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SIDOARJO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,AKADEMI/DIPLOMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,KUNING,PEREMPUAN,SURABAYA,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SUMENEP,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,KUNING,LAKI-LAKI,SAMPANG,JAWA TIMUR,23,TUNAI,LAIN-LAIN,SMA,1649000
24/04/2018,SIDOARJO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,KUNING,LAKI-LAKI,SIDOARJO,JAWA TIMUR,43,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,29,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,GRESIK,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,38,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,26,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,GRESIK,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,30,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,43,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SIDOARJO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,PEREMPUAN,SURABAYA,JAWA TIMUR,40,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,LAMONGAN,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,69,KREDIT,LAIN-LAIN,SMP,1649000
24/04/2018,TUBAN,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,57,KREDIT,LAIN-LAIN,SD,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,58,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,BOJONEGORO,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,PEREMPUAN,TUBAN,JAWA TIMUR,30,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,42,TUNAI,PROFESIONAL (GURU/DOSEN/DOKTER),SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,PUTIH,PEREMPUAN,GRESIK,JAWA TIMUR,29,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,PUTIH,PEREMPUAN,SURABAYA,JAWA TIMUR,44,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SUMENEP,XIAOMI MI A2 LITE 3/32 GB,XIAOMI,PUTIH,PEREMPUAN,SUMENEP,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY S9,SAMSUNG,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,40,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,OPPO F9 6 GB,OPPO,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,29,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,OPPO F9 6 GB,OPPO,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,30,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,OPPO F9 6 GB,OPPO,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,27,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,BANGKALAN,OPPO F9 6 GB,OPPO,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,20,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,VIVO XSHOT,VIVO,ABU-ABU,LAKI-LAKI,SIDOARJO,JAWA TIMUR,57,TUNAI,KARYAWAN SWASTA,AKADEMI/DIPLOMA,1649000
24/04/2018,JOMBANG,VIVO XSHOT,VIVO,ABU-ABU,LAKI-LAKI,JOMBANG,JAWA TIMUR,49,TUNAI,PNS,SMA,1649000
24/04/2018,BOJONEGORO,VIVO XSHOT,VIVO,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,32,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SURABAYA,VIVO XSHOT,VIVO,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,20,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,GRESIK,VIVO XSHOT,VIVO,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,58,TUNAI,WIRASWASTA,SMA,1649000
24/04/2018,JOMBANG,VIVO XSHOT,VIVO,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,21,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SIDOARJO,VIVO XSHOT,VIVO,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,22,TUNAI,PELAJAR/MAHASISWA,AKADEMI/DIPLOMA,1649000
24/04/2018,BANGKALAN,VIVO XSHOT,VIVO,MERAH,PEREMPUAN,BANGKALAN,JAWA TIMUR,21,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,BOJONEGORO,VIVO XSHOT,VIVO,MERAH,PEREMPUAN,BOJONEGORO,JAWA TIMUR,28,TUNAI,IBU RUMAH TANGGA,AKADEMI/DIPLOMA,1649000
24/04/2018,SURABAYA,VIVO XPLAY 3S,VIVO,ABU-ABU,PEREMPUAN,GRESIK,JAWA TIMUR,56,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SURABAYA,VIVO XPLAY 3S,VIVO,ABU-ABU,LAKI-LAKI,SURABAYA,JAWA TIMUR,32,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,VIVO XPLAY 3S,VIVO,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SIDOARJO,VIVO XPLAY 3S,VIVO,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,VIVO XPLAY 3S,VIVO,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,26,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,IPHONE SE 16 GB,APPLE,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,43,KREDIT,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,JOMBANG,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,25,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,IPHONE SE 16 GB,APPLE,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,52,KREDIT,PNS,SMA,1649000
24/04/2018,SURABAYA,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,47,TUNAI,WIRASWASTA,SMA,1649000
24/04/2018,MOJOKERTO,IPHONE SE 16 GB,APPLE,HITAM,PEREMPUAN,MOJOKERTO,JAWA TIMUR,30,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,GRESIK,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,26,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,35,KREDIT,PNS,SMA,1649000
24/04/2018,BOJONEGORO,IPHONE SE 16 GB,APPLE,HITAM,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,24,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,JOMBANG,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,27,TUNAI,WIRASWASTA,SMA,1649000
24/04/2018,BOJONEGORO,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,55,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,TUBAN,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,23,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,48,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,TUBAN,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,22,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,IPHONE SE 16 GB,APPLE,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,IPHONE 5C 32 GB,APPLE,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,33,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,IPHONE 5C 16 GB,APPLE,BIRU,LAKI-LAKI,JOMBANG,JAWA TIMUR,22,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,BANGKALAN,IPHONE 5C 16 GB,APPLE,BIRU,LAKI-LAKI,BANGKALAN,JAWA TIMUR,35,TUNAI,LAIN-LAIN,SMA,1649000
24/04/2018,LAMONGAN,XIAOMI MI 6 4/64 GB,XIAOMI,ABU-ABU,LAKI-LAKI,LAMONGAN,JAWA TIMUR,42,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,BOJONEGORO,XIAOMI MI 6 4/64 GB,XIAOMI,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,49,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,BOJONEGORO,XIAOMI MI 6 4/64 GB,XIAOMI,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,27,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,ABU-ABU,LAKI-LAKI,SURABAYA,JAWA TIMUR,41,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,XIAOMI MI 6 4/64 GB,XIAOMI,ABU-ABU,LAKI-LAKI,JOMBANG,JAWA TIMUR,55,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,XIAOMI MI 6 4/64 GB,XIAOMI,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,25,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,46,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,MERAH,PEREMPUAN,GRESIK,JAWA TIMUR,33,KREDIT,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SIDOARJO,XIAOMI MI 6 4/64 GB,XIAOMI,MERAH,PEREMPUAN,GRESIK,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,TUBAN,XIAOMI MI 6 4/64 GB,XIAOMI,PUTIH,PEREMPUAN,TUBAN,JAWA TIMUR,42,KREDIT,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,BOJONEGORO,XIAOMI MI 6 4/64 GB,XIAOMI,PUTIH,PEREMPUAN,BOJONEGORO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,42,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,52,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI MI 6 4/64 GB,XIAOMI,PUTIH,PEREMPUAN,SURABAYA,JAWA TIMUR,47,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SIDOARJO,OPPO F1,OPPO,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,52,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SIDOARJO,OPPO F1,OPPO,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,59,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,BOJONEGORO,OPPO F1 PLUS,OPPO,PUTIH,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,36,TUNAI,LAIN-LAIN,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,42,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,36,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SUMENEP,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SAMPANG,JAWA TIMUR,36,TUNAI,WIRASWASTA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,34,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,37,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,44,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,BOJONEGORO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,48,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,45,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,21,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,28,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,36,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,31,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,22,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,48,TUNAI,KARYAWAN SWASTA,SARJANA (S1),1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,30,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,49,KREDIT,PNS,SMA,1649000
24/04/2018,GRESIK,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,43,KREDIT,KARYAWAN SWASTA,LAIN-LAIN,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,45,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,GRESIK,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,42,TUNAI,PNS,AKADEMI/DIPLOMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,30,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,33,TUNAI,IBU RUMAH TANGGA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,PEREMPUAN,SIDOARJO,JAWA TIMUR,30,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,BANGKALAN,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SAMPANG,JAWA TIMUR,30,TUNAI,WIRASWASTA,SMA,1649000
24/04/2018,BANGKALAN,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SAMPANG,JAWA TIMUR,23,TUNAI,LAIN-LAIN,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,34,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,22,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,GRESIK,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,33,TUNAI,KARYAWAN SWASTA,AKADEMI/DIPLOMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,20,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,BOJONEGORO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,HITAM,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,29,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,LAMONGAN,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,23,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,19,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,32,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,GRESIK,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,GRESIK,JAWA TIMUR,23,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,30,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,24,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SIDOARJO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,33,TUNAI,KARYAWAN SWASTA,SMA,1649000
24/04/2018,MOJOKERTO,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,40,KREDIT,WIRASWASTA,SMA,1649000
24/04/2018,SURABAYA,SAMSUNG GALAXY A8 PLUS,SAMSUNG,MERAH,PEREMPUAN,SURABAYA,JAWA TIMUR,54,KREDIT,IBU RUMAH TANGGA,SMA,1649000
